url,path,status_code,is_indexable,load_time_ms,title_length,meta_description_length,h1_count,word_count,has_canonical,mobile_friendly,broken_internal_links,images_missing_alt,impressions_28d,clicks_28d,ctr,avg_position,organic_sessions_28d,issue_severity,issues
https://bramblewoodpet.example.com/,/,200,True,1309,66,129,1,308,True,True,0,2,290,14,0.0511,15.9,14,warning,title_length
https://bramblewoodpet.example.com/,/,200,True,970,95,90,1,1893,True,True,1,0,247,20,0.0836,11.1,19,warning,title_length;broken_internal_links
https://bramblewoodpet.example.com/,/,200,True,3339,53,171,1,1694,True,True,0,1,1070,52,0.0486,56.0,46,warning,meta_description_length;slow_load_time
https://bramblewoodpet.example.com/,/,404,False,1654,37,126,0,298,True,True,0,2,0,0,0.0754,16.6,0,critical,broken_page;noindex_or_blocked;h1_count
https://bramblewoodpet.example.com/,/,200,True,4182,67,166,1,319,True,True,1,3,1182,46,0.039,23.7,46,warning,title_length;meta_description_length;broken_internal_links;images_missing_alt;slow_load_time
https://bramblewoodpet.example.com/,/,200,False,1458,53,111,1,526,True,True,0,1,37,2,0.0723,63.2,2,warning,noindex_or_blocked
https://bramblewoodpet.example.com/,/,200,True,1410,43,167,1,1396,True,True,1,2,812,12,0.0148,13.0,12,warning,meta_description_length;broken_internal_links
https://bramblewoodpet.example.com/,/,301,False,1738,81,108,1,673,True,True,1,2,16,1,0.0774,29.0,0,warning,noindex_or_blocked;title_length;broken_internal_links
https://bramblewoodpet.example.com/,/,200,True,1601,49,118,1,568,True,True,0,1,316,6,0.0205,24.9,5,good,
https://bramblewoodpet.example.com/,/,200,True,2066,66,125,1,656,False,True,0,0,252,17,0.0696,56.5,16,warning,title_length;missing_canonical
https://bramblewoodpet.example.com/,/,200,True,2320,32,167,1,579,True,True,0,2,393,10,0.0272,60.3,9,warning,meta_description_length
https://bramblewoodpet.example.com/,/,200,True,2843,70,124,1,669,True,True,0,1,379,19,0.0519,50.4,19,warning,title_length;slow_load_time
https://bramblewoodpet.example.com/,/,500,False,2007,58,157,1,1467,True,True,1,2,11,0,0.086,22.1,0,critical,broken_page;server_error;noindex_or_blocked;broken_internal_links
https://bramblewoodpet.example.com/,/,200,True,5125,52,141,1,463,True,True,1,3,1017,85,0.0836,54.0,88,warning,broken_internal_links;images_missing_alt;slow_load_time
https://bramblewoodpet.example.com/,/,200,True,1540,58,141,1,372,True,True,0,1,1042,77,0.0741,52.0,76,good,
https://bramblewoodpet.example.com/,/,200,True,1072,61,115,1,591,True,True,0,0,331,8,0.0253,67.3,7,good,
https://bramblewoodpet.example.com/,/,200,True,454,76,164,1,345,True,True,0,0,407,21,0.0534,12.8,21,warning,title_length
https://bramblewoodpet.example.com/,/,200,True,2189,60,137,1,847,True,False,0,2,1012,11,0.0113,65.7,10,warning,not_mobile_friendly
https://bramblewoodpet.example.com/,/,200,True,4912,37,122,1,473,True,True,2,3,571,8,0.0147,23.4,7,warning,broken_internal_links;images_missing_alt;slow_load_time
https://bramblewoodpet.example.com/,/,500,False,954,56,180,2,494,False,True,0,2,29,1,0.0607,17.9,1,critical,broken_page;server_error;noindex_or_blocked;meta_description_length;h1_count;missing_canonical
https://bramblewoodpet.example.com/pages/cat-scratcher-post-20,/pages/cat-scratcher-post-20,200,True,1539,41,194,1,501,True,True,0,2,655,54,0.0833,22.0,53,warning,meta_description_length
https://bramblewoodpet.example.com/pages/cat-scratcher-post-21,/pages/cat-scratcher-post-21,404,False,2868,74,211,1,689,True,True,1,0,66,1,0.0256,40.5,0,critical,broken_page;noindex_or_blocked;title_length;meta_description_length;broken_internal_links;slow_load_time
https://bramblewoodpet.example.com/collections/walk-harness-22,/collections/walk-harness-22,301,False,560,57,122,1,652,True,True,0,0,9,0,0.0759,7.0,0,warning,noindex_or_blocked
https://bramblewoodpet.example.com/blog/slow-feeder-bowl-23,/blog/slow-feeder-bowl-23,200,True,1212,62,148,2,274,True,True,0,1,519,19,0.0381,34.2,18,warning,h1_count
https://bramblewoodpet.example.com/blog/dental-chews-24,/blog/dental-chews-24,500,False,1833,59,180,1,1229,True,True,2,2,81,4,0.0612,44.7,4,critical,broken_page;server_error;noindex_or_blocked;meta_description_length;broken_internal_links
https://bramblewoodpet.example.com/products/dental-chews-25,/products/dental-chews-25,301,False,373,55,113,1,343,True,True,2,0,34,1,0.0549,23.9,0,warning,noindex_or_blocked;broken_internal_links
https://bramblewoodpet.example.com/products/cozy-cave-bed-26,/products/cozy-cave-bed-26,200,True,1409,70,109,1,394,True,True,1,1,277,3,0.0126,47.4,3,warning,title_length;broken_internal_links
https://bramblewoodpet.example.com/blog/slow-feeder-bowl-27,/blog/slow-feeder-bowl-27,200,True,1451,61,100,1,1455,True,False,2,1,250,19,0.0764,8.3,18,warning,not_mobile_friendly;broken_internal_links
https://bramblewoodpet.example.com/pages/cozy-cave-bed-28,/pages/cozy-cave-bed-28,200,True,1675,62,181,1,836,True,False,0,2,271,5,0.0196,44.4,4,warning,meta_description_length;not_mobile_friendly
https://bramblewoodpet.example.com/collections/walk-harness-29,/collections/walk-harness-29,200,True,2571,57,158,1,785,True,True,0,0,429,16,0.0395,59.1,14,warning,slow_load_time
https://bramblewoodpet.example.com/collections/slow-feeder-bowl-30,/collections/slow-feeder-bowl-30,404,False,2373,71,132,1,197,True,True,0,2,94,6,0.0714,42.0,6,critical,broken_page;noindex_or_blocked;title_length
https://bramblewoodpet.example.com/blog/cat-scratcher-post-31,/blog/cat-scratcher-post-31,200,False,1226,65,128,1,1054,True,True,1,1,20,0,0.0296,39.8,0,warning,noindex_or_blocked;broken_internal_links
https://bramblewoodpet.example.com/collections/dental-chews-32,/collections/dental-chews-32,200,True,668,65,107,1,457,True,True,2,6,755,48,0.0637,33.2,50,warning,broken_internal_links;images_missing_alt
https://bramblewoodpet.example.com/blog/slow-feeder-bowl-33,/blog/slow-feeder-bowl-33,301,False,1813,40,175,1,812,True,True,0,2,42,1,0.0362,50.9,0,warning,noindex_or_blocked;meta_description_length
https://bramblewoodpet.example.com/blog/waterproof-mat-34,/blog/waterproof-mat-34,200,False,1610,60,164,1,3156,True,True,1,2,54,0,0.0169,38.5,0,warning,noindex_or_blocked;broken_internal_links
https://bramblewoodpet.example.com/pages/enrichment-set-35,/pages/enrichment-set-35,200,True,5555,38,122,1,1758,True,True,1,1,1100,77,0.0701,30.1,83,warning,broken_internal_links;slow_load_time
https://bramblewoodpet.example.com/blog/enrichment-set-36,/blog/enrichment-set-36,404,False,1974,78,179,1,460,True,True,0,3,30,1,0.0401,10.5,0,critical,broken_page;noindex_or_blocked;title_length;meta_description_length;images_missing_alt
https://bramblewoodpet.example.com/blog/cozy-cave-bed-37,/blog/cozy-cave-bed-37,200,True,1882,44,174,1,1305,True,True,1,3,1367,24,0.0182,17.5,22,warning,meta_description_length;broken_internal_links;images_missing_alt
https://bramblewoodpet.example.com/blog/walk-harness-38,/blog/walk-harness-38,200,True,622,50,85,0,486,True,False,3,1,632,56,0.0887,20.0,55,warning,h1_count;not_mobile_friendly;broken_internal_links
https://bramblewoodpet.example.com/products/slow-feeder-bowl-39,/products/slow-feeder-bowl-39,200,True,910,61,148,1,1154,False,True,1,0,1032,83,0.0813,20.3,71,warning,missing_canonical;broken_internal_links
https://bramblewoodpet.example.com/blog/cozy-cave-bed-40,/blog/cozy-cave-bed-40,200,True,1424,44,132,1,571,True,False,0,1,513,12,0.0246,21.5,12,warning,not_mobile_friendly
https://bramblewoodpet.example.com/pages/puppy-training-pads-41,/pages/puppy-training-pads-41,200,True,1656,62,157,1,1229,True,True,0,0,120,4,0.036,59.3,4,good,
https://bramblewoodpet.example.com/pages/grain-free-kibble-42,/pages/grain-free-kibble-42,200,True,609,67,89,1,439,True,True,0,3,610,19,0.0315,47.4,16,warning,title_length;images_missing_alt
https://bramblewoodpet.example.com/pages/cat-scratcher-post-43,/pages/cat-scratcher-post-43,200,True,278,33,160,1,650,True,True,1,0,558,39,0.0702,12.2,35,warning,broken_internal_links
https://bramblewoodpet.example.com/blog/travel-carrier-44,/blog/travel-carrier-44,200,False,1080,38,130,1,401,True,True,0,1,72,5,0.0785,51.4,4,warning,noindex_or_blocked
https://bramblewoodpet.example.com/collections/slow-feeder-bowl-45,/collections/slow-feeder-bowl-45,200,True,3231,53,147,0,1132,True,True,0,2,1652,40,0.0247,48.2,39,warning,h1_count;slow_load_time
https://bramblewoodpet.example.com/blog/cat-scratcher-post-46,/blog/cat-scratcher-post-46,404,False,1348,68,163,1,2078,True,True,0,0,13,0,0.0293,31.9,0,critical,broken_page;noindex_or_blocked;title_length
https://bramblewoodpet.example.com/pages/travel-carrier-47,/pages/travel-carrier-47,200,True,2142,26,145,0,557,True,True,0,0,641,13,0.0217,12.4,12,warning,title_length;h1_count
https://bramblewoodpet.example.com/blog/cat-scratcher-post-48,/blog/cat-scratcher-post-48,200,True,2128,39,67,1,786,True,True,1,0,204,13,0.0674,27.9,12,warning,meta_description_length;broken_internal_links
https://bramblewoodpet.example.com/collections/cat-scratcher-post-49,/collections/cat-scratcher-post-49,404,False,1932,76,150,2,1306,True,True,0,1,74,4,0.0563,55.6,3,critical,broken_page;noindex_or_blocked;title_length;h1_count
https://bramblewoodpet.example.com/collections/enrichment-set-50,/collections/enrichment-set-50,200,True,1436,65,138,1,351,True,True,0,1,691,61,0.0893,41.8,57,good,
https://bramblewoodpet.example.com/blog/dental-chews-51,/blog/dental-chews-51,500,False,994,73,227,1,1115,True,True,1,0,35,0,0.0245,21.1,0,critical,broken_page;server_error;noindex_or_blocked;title_length;meta_description_length;broken_internal_links
https://bramblewoodpet.example.com/pages/walk-harness-52,/pages/walk-harness-52,200,True,2430,64,195,1,446,True,False,0,0,1071,78,0.0733,14.6,73,warning,meta_description_length;not_mobile_friendly
https://bramblewoodpet.example.com/collections/enrichment-set-53,/collections/enrichment-set-53,200,True,1144,66,173,0,1061,True,True,0,1,392,12,0.033,25.5,10,warning,title_length;meta_description_length;h1_count
https://bramblewoodpet.example.com/blog/enrichment-set-54,/blog/enrichment-set-54,200,True,1794,45,197,1,468,True,True,1,3,1372,31,0.0232,19.5,28,warning,meta_description_length;broken_internal_links;images_missing_alt
https://bramblewoodpet.example.com/collections/travel-carrier-55,/collections/travel-carrier-55,200,True,2009,56,167,1,637,True,True,0,2,220,4,0.0192,4.5,3,warning,meta_description_length
