date,channel_group,device_category,sessions,new_users,engaged_sessions,conversions,revenue_usd,bounce_rate,avg_session_duration_sec
2026-01-01,Organic Search,desktop,395,257,249,9,379.53,0.472,224
2026-01-01,Paid Search,mobile,170,105,105,4,163.03,0.445,77
2026-01-01,Paid Social,desktop,216,151,97,5,184.18,0.29,164
2026-01-01,Email,mobile,246,156,129,21,917.65,0.364,256
2026-01-01,Direct,desktop,139,95,62,1,37.42,0.287,153
2026-01-01,Referral,mobile,134,76,74,3,161.5,0.342,138
2026-01-02,Organic Search,mobile,363,216,176,13,497.21,0.446,92
2026-01-02,Paid Search,mobile,182,106,108,6,216.76,0.37,114
2026-01-02,Paid Social,mobile,222,157,129,4,160.46,0.444,100
2026-01-02,Email,desktop,294,169,179,20,992.09,0.58,83
2026-01-02,Direct,mobile,138,76,75,6,294.77,0.434,72
2026-01-02,Referral,mobile,137,91,69,7,296.24,0.338,89
2026-01-03,Organic Search,desktop,317,243,209,6,270.6,0.57,224
2026-01-03,Paid Search,mobile,195,127,93,9,335.59,0.418,73
2026-01-03,Paid Social,mobile,249,163,125,4,140.39,0.391,142
2026-01-03,Email,desktop,288,171,184,20,1129.08,0.35,256
2026-01-03,Direct,mobile,141,86,76,2,81.74,0.504,185
2026-01-03,Referral,mobile,155,111,101,5,231.9,0.585,129
2026-01-04,Organic Search,mobile,373,262,243,13,494.46,0.316,94
2026-01-04,Paid Search,mobile,191,111,108,3,107.31,0.555,90
2026-01-04,Paid Social,mobile,233,139,101,7,228.15,0.611,220
2026-01-04,Email,mobile,285,178,143,14,760.01,0.442,116
2026-01-04,Direct,mobile,153,94,100,5,219.24,0.348,182
2026-01-04,Referral,mobile,159,122,70,6,241.14,0.598,201
2026-01-05,Organic Search,desktop,324,247,211,5,188.07,0.379,193
2026-01-05,Paid Search,desktop,190,131,103,8,364.43,0.534,155
2026-01-05,Paid Social,mobile,170,117,99,5,193.2,0.321,235
2026-01-05,Email,mobile,262,192,148,17,782.6,0.379,239
2026-01-05,Direct,mobile,133,76,64,6,292.09,0.444,129
2026-01-05,Referral,mobile,131,77,56,3,134.1,0.539,110
2026-01-06,Organic Search,mobile,334,188,156,11,498.87,0.552,124
2026-01-06,Paid Search,mobile,185,122,107,6,274.62,0.585,72
2026-01-06,Paid Social,mobile,188,136,88,4,142.52,0.323,236
2026-01-06,Email,mobile,228,136,132,11,451.2,0.32,91
2026-01-06,Direct,mobile,137,97,76,9,462.82,0.324,66
2026-01-06,Referral,desktop,127,98,82,4,219.0,0.353,184
2026-01-07,Organic Search,mobile,325,210,148,9,403.49,0.534,128
2026-01-07,Paid Search,mobile,171,112,78,5,203.74,0.349,55
2026-01-07,Paid Social,mobile,248,151,115,5,173.48,0.508,58
2026-01-07,Email,tablet,274,185,175,14,628.76,0.355,140
2026-01-07,Direct,desktop,161,105,75,6,233.62,0.438,177
2026-01-07,Referral,mobile,132,97,69,10,493.43,0.385,148
2026-01-08,Organic Search,desktop,298,163,177,6,243.42,0.602,54
2026-01-08,Paid Search,mobile,220,147,124,6,245.06,0.332,118
2026-01-08,Paid Social,mobile,183,119,84,3,118.36,0.367,140
2026-01-08,Email,tablet,309,187,178,19,925.61,0.305,229
2026-01-08,Direct,tablet,137,92,69,5,228.98,0.33,82
2026-01-08,Referral,mobile,135,104,66,8,400.54,0.297,99
2026-01-09,Organic Search,mobile,381,288,215,8,289.74,0.393,123
2026-01-09,Paid Search,mobile,177,135,110,6,209.2,0.555,206
2026-01-09,Paid Social,desktop,213,139,140,0,0.0,0.288,177
2026-01-09,Email,desktop,238,167,151,10,456.95,0.288,209
2026-01-09,Direct,mobile,151,85,87,2,99.95,0.552,193
2026-01-09,Referral,tablet,101,73,43,8,341.15,0.526,238
2026-01-10,Organic Search,desktop,393,265,261,9,414.92,0.379,250
2026-01-10,Paid Search,mobile,192,132,118,6,226.41,0.544,225
2026-01-10,Paid Social,mobile,256,181,157,3,116.13,0.328,257
2026-01-10,Email,mobile,302,200,144,19,835.15,0.546,103
2026-01-10,Direct,mobile,164,102,72,3,132.83,0.301,63
2026-01-10,Referral,desktop,130,83,57,5,218.62,0.562,147
2026-01-11,Organic Search,mobile,426,308,241,10,425.4,0.402,117
2026-01-11,Paid Search,mobile,202,119,119,8,290.16,0.459,107
2026-01-11,Paid Social,desktop,225,130,121,5,199.67,0.539,169
2026-01-11,Email,mobile,274,186,136,16,712.53,0.596,235
2026-01-11,Direct,mobile,178,109,101,4,171.76,0.361,88
2026-01-11,Referral,mobile,149,87,93,7,303.11,0.561,194
2026-01-12,Organic Search,desktop,325,234,154,2,75.78,0.359,214
2026-01-12,Paid Search,mobile,149,112,68,3,121.71,0.286,69
2026-01-12,Paid Social,mobile,199,136,135,4,132.92,0.44,169
