date,channel_group,device_category,sessions,new_users,engaged_sessions,conversions,revenue_usd,bounce_rate,avg_session_duration_sec
2026-01-01,Organic Search,tablet,445,281,277,9,1499.04,0.576,123
2026-01-01,Paid Search,desktop,435,319,259,7,1042.21,0.475,128
2026-01-01,Paid Social,mobile,378,238,208,4,442.57,0.566,220
2026-01-01,Email,mobile,179,138,114,8,1478.36,0.547,124
2026-01-01,Direct,desktop,224,169,135,7,1037.59,0.447,94
2026-01-01,Referral,mobile,58,34,34,1,142.16,0.609,143
2026-01-02,Organic Search,desktop,466,325,314,14,1798.19,0.51,50
2026-01-02,Paid Search,tablet,415,314,258,15,1829.41,0.46,148
2026-01-02,Paid Social,mobile,359,259,184,12,1695.18,0.357,232
2026-01-02,Email,desktop,161,108,71,9,1245.15,0.531,69
2026-01-02,Direct,tablet,207,136,90,6,991.34,0.335,84
2026-01-02,Referral,desktop,62,42,38,0,0.0,0.418,131
2026-01-03,Organic Search,desktop,574,322,375,15,2249.1,0.43,117
2026-01-03,Paid Search,desktop,456,261,219,15,1875.6,0.515,102
2026-01-03,Paid Social,desktop,489,347,215,20,2535.43,0.442,107
2026-01-03,Email,desktop,191,145,128,9,1335.41,0.562,170
2026-01-03,Direct,desktop,279,176,165,6,1184.51,0.536,218
2026-01-03,Referral,desktop,83,59,55,0,0.0,0.565,222
2026-01-04,Organic Search,mobile,581,385,292,15,1979.56,0.426,92
2026-01-04,Paid Search,mobile,521,359,251,16,1803.99,0.332,124
2026-01-04,Paid Social,desktop,423,308,186,12,1247.35,0.294,99
2026-01-04,Email,tablet,181,119,102,13,1796.29,0.505,159
2026-01-04,Direct,mobile,240,158,128,5,914.46,0.582,147
2026-01-04,Referral,desktop,70,42,46,2,279.46,0.4,51
2026-01-05,Organic Search,mobile,538,358,338,14,2100.53,0.615,112
2026-01-05,Paid Search,mobile,432,310,189,18,2158.49,0.402,119
2026-01-05,Paid Social,mobile,377,286,167,9,926.99,0.473,156
2026-01-05,Email,desktop,167,129,99,11,1506.1,0.512,68
2026-01-05,Direct,desktop,222,147,96,7,1114.41,0.418,212
2026-01-05,Referral,desktop,66,40,31,3,413.26,0.391,234
2026-01-06,Organic Search,mobile,551,305,235,12,1876.36,0.4,244
2026-01-06,Paid Search,desktop,462,335,256,8,987.52,0.326,182
2026-01-06,Paid Social,mobile,381,241,198,9,1186.69,0.388,125
2026-01-06,Email,desktop,162,111,82,9,1346.61,0.375,129
2026-01-06,Direct,desktop,227,166,124,7,1310.96,0.465,48
2026-01-06,Referral,mobile,72,53,38,2,235.39,0.442,137
2026-01-07,Organic Search,mobile,546,337,368,13,2029.35,0.442,57
2026-01-07,Paid Search,tablet,377,287,188,13,1869.44,0.452,90
2026-01-07,Paid Social,desktop,402,262,267,8,868.04,0.393,219
2026-01-07,Email,desktop,186,129,99,4,708.55,0.305,138
2026-01-07,Direct,desktop,213,155,140,5,916.45,0.406,257
2026-01-07,Referral,mobile,73,52,43,0,0.0,0.324,243
2026-01-08,Organic Search,desktop,515,315,242,13,1596.85,0.532,152
2026-01-08,Paid Search,mobile,451,252,288,17,2259.99,0.3,197
