date,channel_group,device_category,sessions,new_users,engaged_sessions,conversions,revenue_usd,bounce_rate,avg_session_duration_sec
2026-01-30,Paid Search,desktop,313.0,191.0,161.0,11,833.03,0.307,112.0
2026-02-21, Organic Search ,mobile,531.0,368.0,266.0,11,1156.98,0.463,225.0
2026-04-16,Paid Search,MOBILE,173.0,126.0,112.0,8,609.33,0.572,254.0
2026-01-18,referral,MOBILE,79.0,52.0,39.0,0,0.0,0.606,150.0
2026-02-26,Email,mobile,147.0,90.0,99.0,4,$396.54,0.397,68.0
2026-03-26,Referral, mobile ,47.0,35.0,24.0,1,$82.50,0.445,252.0
2026-02-28,Paid-Search,mobile,319.0,206.0,189.0,7,$647.48,0.349,128.0
2026-04-04,Referal, desktop ,56.0,37.0,32.0,3,231.63,0.572,70.0
2026-01-15,Paid-Search,mobile,282.0,181.0,183.0,8,708.86,0.366,74.0
2026-04-27,email,mobile,115.0,83.0,67.0,5,500.1,0.321,233.0
2026-01-21,email, mobile ,141.0,87.0,79.0,9,744.41,0.481,256.0
2026-03-24,Direct,mobile,133.0,91.0,62.0,3,343.88,0.303,95.0
2026-02-22,Referral,desktop,80.0,49.0,41.0,2,147.48,0.354,176.0
2026-03-30,ORGANIC SEARCH,MOBILE,358.0,233.0,207.0,12,1197.64,0.481,94.0
2026-03-13,Email,desktop,113.0,80.0,72.0,1,96.02,0.291,175.0
2026-03-20,Organic Search,desktop,352.0,263.0,224.0,8,615.99,0.493,238.0
2026-01-21,Direct, mobile ,178.0,101.0,115.0,8,900.39,0.576,57.0
2026-02-23,direct,desktop,170.0,125.0,101.0,6,593.54,0.329,134.0
2026-02-11,Organic Search,mobile,453.0,255.0,296.0,11,919.56,0.465,194.0
2026-01-07,Referal,mobile,63.0,36.0,42.0,0,0.0,0.351,153.0
2026-04-04,Paid  Search,Mobile,221.0,146.0,149.0,4,344.05,0.573,105.0
2026-01-22,Orgnic Search,mobile,485.0,328.0,268.0,13,1113.2,0.31,144.0
2026-04-10,Paid Search,mobile,202.0,142.0,98.0,6,447.5,0.393,94.0
2026-04-08,Direct,mobile,138.0,96.0,62.0,5,566.95,0.305,157.0
2026-01-16,Paid Search,MOBILE,282.0,191.0,167.0,7,521.82,0.374,110.0
2026-03-17,paid search,mobile,227.0,173.0,129.0,6,$458.00,0.432,154.0
2026-04-02,Orgnic Search,mobile,318.0,245.0,214.0,8,$689.51,0.334,81.0
2026-04-15,Direct,mobile,139.0,103.0,93.0,3,297.28,0.283,96.0
2026-02-02,paid social,desktop,252.0,152.0,107.0,2,166.07,0.283,114.0
2026-01-08,DIRECT,mobile,166.0,123.0,84.0,3,312.93,0.542,59.0
2026-03-28,Organic Search,mobile,398.0,230.0,195.0,8,755.72,0.531,186.0
2026-01-18,Paid Search,desktop,307.0,188.0,203.0,5,346.42,0.617,169.0
2026-04-13,Paid Social, desktop ,164.0,96.0,92.0,5,317.89,0.321,105.0
2026-03-05,DIRECT,mobile,142.0,108.0,69.0,1,98.78,0.519,122.0
2026-01-14,PAID SOCIAL,mobile,236.0,143.0,109.0,8,484.68,0.393,86.0
2026-04-03,Organic Search,desktop,312.0,206.0,188.0,7,698.13,0.326,54.0
2026-01-15,Paid Soical,desktop,238.0,182.0,108.0,5,313.63,0.611,194.0
2026-03-01,Email,desktop,148.0,95.0,85.0,8,$702.17,0.469,165.0
2026-03-27,Email,MOBILE,107.0,78.0,69.0,3,304.94,0.478,212.0
2026-02-18,Email,Mobile,132.0,74.0,56.0,5,533.65,0.443,176.0
2026-02-22,Paid Search,tablet,302.0,197.0,176.0,8,565.27,0.356,178.0
2026-03-28,Paid Soical,desktop,176.0,112.0,117.0,4,274.5,0.418,75.0
2026-04-26,Organic  Search,mobile,487.0,322.0,229.0,12,942.18,0.41,242.0
2026-03-09,direct,desktop,113.0,75.0,65.0,3,$320.82,0.435,105.0
2026-01-31,Referral, mobile ,77.0,58.0,51.0,1,83.37,0.337,187.0
2026-04-15, Email ,Mobile,106.0,74.0,54.0,10,1039.96,0.462,259.0
2026-01-17,Paid Search,desktop,308.0,170.0,148.0,15,"$1,287.09",0.312,113.0
2026-01-07, Email ,desktop,111.0,73.0,50.0,6,$581.11,0.342,189.0
2026-02-04,Paid Social, desktop ,221.0,148.0,100.0,4,307.89,0.561,160.0
2026-03-23,referral,mobile,56.0,43.0,25.0,1,81.48,0.378,63.0
2026-04-03,Paid  Search,Mobile,259.0,168.0,165.0,5,$393.04,0.423,162.0
2026-01-14,Email,desktop,138.0,78.0,64.0,5,527.69,0.429,75.0
2026-03-11,paid social,desktop,212.0,137.0,131.0,3,251.85,0.285,177.0
2026-02-01,Organic  Search,mobile,534.0,376.0,226.0,11,1085.03,0.411,141.0
2026-03-06,Paid Social,tablet,186.0,107.0,104.0,1,72.49,0.372,87.0
2026-04-09,Referral,desktop,51.0,39.0,23.0,1,97.28,0.406,211.0
2026-01-22,paid search,desktop,270.0,151.0,144.0,8,675.52,0.603,117.0
2026-01-09,Orgnic Search,desktop,442.0,337.0,190.0,10,938.49,0.305,172.0
2026-04-17,Paid Social,desktop,176.0,132.0,89.0,6,398.57,0.282,157.0
2026-04-29,Referral,MOBILE,61.0,41.0,27.0,2,203.33,0.597,125.0
2026-02-02,Referral,desktop,66.0,39.0,37.0,3,247.28,0.347,54.0
2026-01-27,Email,desktop,140.0,83.0,69.0,11,"$1,010.84",0.358,247.0
2026-02-02,Organic Search,tablet,490.0,296.0,327.0,7,$681.47,0.48,104.0
,,,,,,,,,
2026-04-20,organic search,desktop,345.0,246.0,210.0,8,664.45,0.596,246.0
2026-04-02,Direct,desktop,125.0,90.0,68.0,3,359.28,0.305,259.0
2026-04-05,Direct,mobile,132.0,93.0,60.0,2,190.68,0.336,173.0
2026-03-01,DIRECT,Mobile,176.0,111.0,82.0,5,$593.23,0.436,183.0
2026-01-25,Paid Search,mobile,379.0,266.0,215.0,11,817.35,0.527,144.0
2026-03-13,Paid Search,mobile,202.0,113.0,118.0,5,356.68,0.504,122.0
2026-03-18,Referral,mobile,50.0,34.0,24.0,1,81.29,0.568,193.0
2026-03-09,Orgnic Search,Mobile,365.0,283.0,208.0,12,1204.09,0.445,83.0
2026-03-19,Direct,mobile,147.0,96.0,84.0,4,437.08,0.529,93.0
2026-01-23,Direct,mobile,147.0,91.0,66.0,3,255.94,0.583,173.0
"March 09, 2026",Paid Social,desktop,163.0,103.0,71.0,2,139.54,0.324,116.0
2026-03-19,Referral,desktop,56.0,35.0,28.0,0,0.0,0.291,61.0
2026-04-11,Paid  Search,desktop,239.0,162.0,156.0,8,755.42,0.534,69.0
2026-03-25,Paid Search,desktop,170.0,110.0,83.0,3,233.66,0.307,243.0
2026-03-06,referral,desktop,46.0,27.0,20.0,0,0.0,0.336,115.0
2026-01-06,paid search,Mobile,279.0,196.0,144.0,7,624.46,0.345,102.0
2026-01-02,Direct,desktop,160.0,120.0,86.0,3,$333.89,0.289,125.0
2026-02-10, Email ,desktop,144.0,84.0,89.0,3,261.92,0.475,105.0
2026-04-06,Paid Social,desktop,187.0,105.0,123.0,,450.6,0.563,117.0
2026-04-07, Email ,mobile,104.0,77.0,51.0,1,82.78,0.537,158.0
2026-04-13,referral,Mobile,53.0,34.0,23.0,1,89.62,0.462,124.0
2026-02-15,Paid-Search,Mobile,275.0,195.0,172.0,7,639.21,0.473,188.0
2026-01-10,DIRECT,mobile,185.0,110.0,123.0,4,375.88,0.303,135.0
