date,channel_group,device_category,sessions,new_users,engaged_sessions,conversions,revenue_usd,bounce_rate,avg_session_duration_sec
2026-01-01,Organic Search,desktop,637,414,409,9,836.41,0.539,214
2026-01-01,Paid Search,desktop,286,181,189,13,940.86,0.357,164
2026-01-01,Paid Social,mobile,280,194,172,9,638.26,0.545,86
2026-01-01,Email,desktop,144,84,86,11,890.77,0.406,145
2026-01-01,Direct,mobile,188,123,90,5,519.35,0.518,112
2026-01-01,Referral,mobile,91,58,45,0,0.0,0.283,214
2026-01-02,Organic Search,mobile,542,395,292,8,555.41,0.507,146
2026-01-02,Paid Search,desktop,302,210,170,9,557.79,0.428,91
2026-01-02,Paid Social,mobile,231,139,100,2,131.96,0.469,213
2026-01-02,Email,mobile,136,100,63,2,185.27,0.437,79
2026-01-02,Direct,desktop,199,141,106,4,389.7,0.403,63
2026-01-02,Referral,desktop,82,62,49,4,309.83,0.524,141
2026-01-03,Organic Search,mobile,660,500,355,11,903.24,0.34,229
2026-01-03,Paid Search,mobile,343,222,200,13,823.26,0.421,53
2026-01-03,Paid Social,mobile,325,189,145,3,214.8,0.478,119
2026-01-03,Email,mobile,159,122,86,4,342.83,0.447,246
2026-01-03,Direct,desktop,178,108,90,5,390.19,0.561,237
2026-01-03,Referral,mobile,95,54,56,2,152.41,0.541,68
2026-01-04,Organic Search,desktop,648,361,365,16,1413.84,0.388,249
2026-01-04,Paid Search,mobile,358,217,237,6,432.99,0.617,236
2026-01-04,Paid Social,mobile,308,232,170,6,395.86,0.407,65
2026-01-04,Email,mobile,166,127,80,8,607.25,0.341,173
2026-01-04,Direct,desktop,250,155,155,8,655.47,0.285,94
2026-01-04,Referral,mobile,111,64,61,2,126.95,0.553,198
2026-01-05,Organic Search,desktop,637,368,421,11,876.02,0.505,250
2026-01-05,Paid Search,mobile,297,165,167,7,453.16,0.422,252
2026-01-05,Paid Social,desktop,246,180,133,1,54.18,0.562,216
2026-01-05,Email,mobile,141,97,91,5,412.01,0.425,185
2026-01-05,Direct,desktop,169,102,81,7,564.92,0.303,172
2026-01-05,Referral,desktop,106,65,48,1,65.53,0.332,69
2026-01-06,Organic Search,mobile,623,367,270,15,1155.69,0.388,153
2026-01-06,Paid Search,desktop,298,166,139,7,529.17,0.422,55
2026-01-06,Paid Social,tablet,274,157,174,7,377.76,0.567,239
2026-01-06,Email,mobile,138,100,81,4,348.64,0.455,229
2026-01-06,Direct,desktop,191,133,93,4,362.51,0.359,124
2026-01-06,Referral,mobile,90,57,53,4,323.12,0.444,115
2026-01-07,Organic Search,mobile,744,520,468,17,1260.83,0.53,88
2026-01-07,Paid Search,mobile,316,218,140,7,593.5,0.327,251
2026-01-07,Paid Social,desktop,306,223,191,4,257.79,0.312,177
2026-01-07,Email,tablet,160,109,86,8,759.18,0.447,173
2026-01-07,Direct,mobile,207,119,91,5,510.06,0.508,116
2026-01-07,Referral,desktop,95,58,48,0,0.0,0.598,139
2026-01-08,Organic Search,tablet,733,496,486,16,1225.19,0.615,199
2026-01-08,Paid Search,mobile,339,252,198,11,863.39,0.284,142
2026-01-08,Paid Social,mobile,240,157,128,6,411.18,0.318,259
2026-01-08,Email,desktop,139,103,62,7,633.6,0.311,237
2026-01-08,Direct,desktop,185,107,115,8,786.02,0.292,46
2026-01-08,Referral,mobile,77,56,37,0,0.0,0.595,211
2026-01-09,Organic Search,desktop,728,407,343,13,1126.37,0.494,227
2026-01-09,Paid Search,desktop,281,167,137,17,1302.39,0.299,177
2026-01-09,Paid Social,mobile,269,191,125,2,145.55,0.436,213
2026-01-09,Email,desktop,151,88,100,6,551.84,0.501,247
2026-01-09,Direct,mobile,197,126,107,3,258.62,0.384,136
2026-01-09,Referral,mobile,94,60,49,2,132.61,0.292,134
2026-01-10,Organic Search,mobile,827,563,468,20,1682.23,0.388,214
2026-01-10,Paid Search,mobile,337,233,173,14,1169.52,0.593,153
2026-01-10,Paid Social,desktop,293,182,186,2,106.78,0.566,56
2026-01-10,Email,desktop,176,103,88,2,191.44,0.571,125
2026-01-10,Direct,mobile,215,124,110,14,1427.18,0.386,192
2026-01-10,Referral,tablet,106,73,44,2,125.21,0.336,224
2026-01-11,Organic Search,mobile,690,512,467,12,924.21,0.307,207
2026-01-11,Paid Search,mobile,431,251,201,10,670.68,0.379,150
2026-01-11,Paid Social,desktop,248,141,119,5,328.55,0.508,209
2026-01-11,Email,mobile,155,104,78,7,657.98,0.57,153
2026-01-11,Direct,mobile,216,161,109,6,484.16,0.416,242
